Func,Best,Worst,Median,Mean,Std
1,0.684012,7609845020.721735,127139.471017,349474334.806104,1133228854.874655
2,0.000000,184178538547.532410,0.409666,13368415667.398527,40289607182.252968
3,20.000000,21.470086,20.426253,20.520233,0.390469
4,23.065377,732.882583,53.002535,141.528204,191.005490
5,1019.138686,10425.434046,2904.844324,4159.354742,2818.604030
6,672.929719,1031356815.852733,7622.887865,33450560.284503,125294290.426568
7,6.546046,2732.710963,10.859367,113.324420,356.774479
8,153.698122,329960675.647840,1452.539047,10717970.566189,40973663.341576
9,102.881824,1047.890838,103.917963,162.236525,178.928896
10,262.583444,1057124652.743978,1600.965028,27773887.002884,106036125.591526
11,314.791839,3260.474148,854.502050,1034.739274,450.754560
12,105.275919,308.932428,107.621857,122.636328,44.928716
13,101.227156,3551.418058,122.103892,171.630439,262.912357
14,573.683892,190558.958323,23384.613182,28047.090551,34045.114196
15,100.000000,1431651.313469,100.000000,40007.096922,155531.654231
